Country/territory,WHO Preferred Vaccine Name,mmm Year,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Algeria,AstraZeneca - Vaxzevria,5/1/2021,,,"758,400",,,"758,400"
Algeria,AstraZeneca - Vaxzevria,8/1/2021,,,"816,000",,,"816,000"
Algeria,AstraZeneca - Vaxzevria,9/1/2021,,,"264,000",,,"264,000"
Algeria,AstraZeneca - Vaxzevria,1/1/2022,,,"662,400",,,"662,400"
Algeria,Gamaleya - Sputnik V,1/1/2021,"50,000",,,,,"50,000"
Algeria,Gamaleya - Sputnik V,6/1/2021,"300,000",,,,,"300,000"
Algeria,Gamaleya - Sputnik V,9/1/2021,"206,000",,,,,"206,000"
Algeria,Gamaleya - Sputnik V,10/1/2021,"204,000",,,,,"204,000"
Algeria,Janssen - Ad26.COV 2.S,8/1/2021,,,"604,800",,,"604,800"
Algeria,Janssen - Ad26.COV 2.S,12/1/2021,,,"5,529,600",,,"5,529,600"
Algeria,Janssen - Ad26.COV 2.S,1/1/2022,,,"151,200",,,"151,200"
Algeria,Janssen - Ad26.COV 2.S,9/1/2022,,,"223,200",,,"223,200"
Algeria,SII - Covishield,1/1/2021,"50,000",,,,,"50,000"
Algeria,Sinopharm (Beijing) - BBIBP-CorV,2/1/2021,,"200,000",,,,"200,000"
Algeria,Sinovac - CoronaVac,7/1/2021,"5,000,000",,,,,"5,000,000"
Algeria,Sinovac - CoronaVac,8/1/2021,"5,000,000",,"567,600",,,"5,567,600"
Algeria,Sinovac - CoronaVac,9/1/2021,"5,000,000",,"2,620,800",,,"7,620,800"
Algeria,Sinovac - CoronaVac,10/1/2021,,,"3,586,800",,,"3,586,800"
Andorra,AstraZeneca - Vaxzevria,4/1/2021,,,"26,400",,,"26,400"
Andorra,Pfizer BioNTech - Comirnaty,10/1/2021,,,"2,340",,,"2,340"
Andorra,Unknown,1/1/2021,,,,,634,634
Andorra,Unknown,2/1/2021,,,,,"2,145","2,145"
Andorra,Unknown,3/1/2021,,,,,"7,438","7,438"
Andorra,Unknown,5/1/2021,,,,,"2,891","2,891"
Andorra,Unknown,6/1/2021,,,,,"35,654","35,654"
Andorra,Unknown,7/1/2021,,,,,"15,422","15,422"
Andorra,Unknown,8/1/2021,,,,,"14,926","14,926"
Andorra,Unknown,9/1/2021,,,,,"6,725","6,725"
Andorra,Unknown,10/1/2021,,,,,412,412
Andorra,Unknown,12/1/2021,,,,,"13,983","13,983"
Andorra,Unknown,1/1/2022,,,,,"25,242","25,242"
Andorra,Unknown,2/1/2022,,,,,"12,200","12,200"
Andorra,Unknown,3/1/2022,,,,,993,993
Andorra,Unknown,4/1/2022,,,,,304,304
Andorra,Unknown,5/1/2022,,,,,670,670
Andorra,Unknown,6/1/2022,,,,,342,342
Andorra,Unknown,7/1/2022,,,,,163,163
Andorra,Unknown,8/1/2022,,,,,601,601
Andorra,Unknown,9/1/2022,,,,,174,174
Angola,AstraZeneca - Vaxzevria,7/1/2021,,"50,000",,,,"50,000"
Angola,AstraZeneca - Vaxzevria,8/1/2021,,"320,000","128,640",,,"448,640"
Angola,AstraZeneca - Vaxzevria,9/1/2021,,"350,000","100,800",,,"450,800"
Angola,AstraZeneca - Vaxzevria,11/1/2021,,"200,000","2,106,000",,,"2,306,000"
Angola,AstraZeneca - Vaxzevria,12/1/2021,,"350,000","2,484,000",,,"2,834,000"
Angola,Gamaleya - Sputnik V,5/1/2021,"40,000",,,,,"40,000"
Angola,Gamaleya - Sputnik V,6/1/2021,,"25,000",,,,"25,000"
Angola,Gamaleya - Sputnik V,9/1/2021,,"25,000",,,,"25,000"
Angola,Janssen - Ad26.COV 2.S,8/1/2021,,,,"165,600",,"165,600"
Angola,Janssen - Ad26.COV 2.S,10/1/2021,,,,"302,400",,"302,400"
Angola,Janssen - Ad26.COV 2.S,11/1/2021,,,,"453,600",,"453,600"
Angola,Janssen - Ad26.COV 2.S,12/1/2021,,,"3,774,450",,,"3,774,450"
Angola,Janssen - Ad26.COV 2.S,1/1/2022,,"100,000",,,,"100,000"
Angola,Moderna - Spikevax,12/1/2021,,,"3,627,600",,,"3,627,600"
Angola,Moderna - Spikevax,6/1/2022,,,"428,400",,,"428,400"
Angola,Moderna - Spikevax,7/1/2022,,,"433,440",,,"433,440"
Angola,Pfizer BioNTech - Comirnaty,6/1/2021,,,"100,620",,,"100,620"
Angola,Pfizer BioNTech - Comirnaty,8/1/2021,,,"1,182,870",,,"1,182,870"
Angola,Pfizer BioNTech - Comirnaty,9/1/2021,,,"464,490",,,"464,490"
Angola,Pfizer BioNTech - Comirnaty,10/1/2021,,,"1,770,210",,,"1,770,210"
Angola,Pfizer BioNTech - Comirnaty,11/1/2021,,,"1,998,360",,,"1,998,360"
Angola,Pfizer BioNTech - Comirnaty,12/1/2021,,,"1,312,740",,,"1,312,740"
Angola,Pfizer BioNTech - Comirnaty,2/1/2022,,,"666,900",,,"666,900"
Angola,Pfizer BioNTech - Comirnaty,5/1/2022,,,"497,250",,,"497,250"
Angola,Pfizer BioNTech - Comirnaty,6/1/2022,,,"418,860",,,"418,860"
Angola,Pfizer BioNTech - Comirnaty,7/1/2022,,,"417,690",,,"417,690"
Angola,SII - Covishield,3/1/2021,,,"624,000",,,"624,000"
Angola,SII - Covishield,4/1/2021,,,"495,000",,,"495,000"
Angola,Sinopharm (Beijing) - BBIBP-CorV,3/1/2021,,"200,000",,,,"200,000"
Angola,Sinopharm (Beijing) - BBIBP-CorV,9/1/2021,,,"1,226,400",,,"1,226,400"
Angola,Sinopharm (Beijing) - BBIBP-CorV,10/1/2021,"3,000,000",,,,,"3,000,000"
Angola,Unknown,6/1/2021,,,,,"152,502","152,502"
Angola,Unknown,7/1/2021,,,,,"64,670","64,670"
Anguilla,Unknown,2/1/2021,,,,,"4,322","4,322"
Anguilla,Unknown,3/1/2021,,,,,"1,561","1,561"
Anguilla,Unknown,4/1/2021,,,,,"1,705","1,705"
Anguilla,Unknown,5/1/2021,,,,,"8,300","8,300"
Anguilla,Unknown,6/1/2021,,,,,"1,481","1,481"
Anguilla,Unknown,7/1/2021,,,,,"2,644","2,644"
Anguilla,Unknown,8/1/2021,,,,,292,292
Anguilla,Unknown,9/1/2021,,,,,139,139
Anguilla,Unknown,10/1/2021,,,,,133,133
Anguilla,Unknown,11/1/2021,,,,,"1,128","1,128"
Anguilla,Unknown,12/1/2021,,,,,609,609
Anguilla,Unknown,1/1/2022,,,,,"1,282","1,282"
Anguilla,Unknown,2/1/2022,,,,,788,788
Anguilla,Unknown,3/1/2022,,,,,604,604
Anguilla,Unknown,4/1/2022,,,,,453,453
Anguilla,Unknown,5/1/2022,,,,,523,523
Anguilla,Unknown,6/1/2022,,,,,358,358
Anguilla,Unknown,7/1/2022,,,,,147,147
Anguilla,Unknown,8/1/2022,,,,,46,46
Anguilla,Unknown,9/1/2022,,,,,337,337
Antigua and Barbuda,AstraZeneca - Vaxzevria,2/1/2021,,"5,000",,,,"5,000"
Antigua and Barbuda,AstraZeneca - Vaxzevria,4/1/2021,,,"24,000",,,"24,000"
Antigua and Barbuda,AstraZeneca - Vaxzevria,6/1/2021,,,"16,800",,,"16,800"
Antigua and Barbuda,AstraZeneca - Vaxzevria,8/1/2021,,"12,000",,,,"12,000"
Antigua and Barbuda,AstraZeneca - Vaxzevria,11/1/2021,,,"19,200",,,"19,200"
Antigua and Barbuda,AstraZeneca - Vaxzevria,8/1/2022,,"5,040",,,,"5,040"
Antigua and Barbuda,Gamaleya - Sputnik V,4/1/2021,,"1,000",,,,"1,000"
Antigua and Barbuda,Janssen - Ad26.COV 2.S,8/1/2021,,,,"38,400",,"38,400"
Antigua and Barbuda,Pfizer BioNTech - Comirnaty,8/1/2021,,"17,550",,,,"17,550"
Antigua and Barbuda,Pfizer BioNTech - Comirnaty,11/1/2021,,"23,400",,,,"23,400"
Antigua and Barbuda,Pfizer BioNTech - Comirnaty,2/1/2022,,"32,400",,,,"32,400"
Antigua and Barbuda,SII - Covishield,2/1/2021,,"40,000",,,,"40,000"
Antigua and Barbuda,Sinopharm (Beijing) - BBIBP-CorV,6/1/2021,,"20,000",,,,"20,000"
Argentina,AstraZeneca - Vaxzevria,3/1/2021,,,"218,400",,,"218,400"
Argentina,AstraZeneca - Vaxzevria,4/1/2021,,,"864,000",,,"864,000"
Argentina,AstraZeneca - Vaxzevria,5/1/2021,"2,992,200",,"861,600",,,"3,853,800"
Argentina,AstraZeneca - Vaxzevria,6/1/2021,"4,065,700",,,,,"4,065,700"
Argentina,AstraZeneca - Vaxzevria,7/1/2021,"2,883,000",,,,,"2,883,000"
Argentina,AstraZeneca - Vaxzevria,8/1/2021,"3,129,000","400,000",,,,"3,529,000"
Argentina,AstraZeneca - Vaxzevria,9/1/2021,"1,351,500",,"1,392,000",,,"2,743,500"
Argentina,AstraZeneca - Vaxzevria,10/1/2021,"10,144,100",,"960,400",,,"11,104,500"
Argentina,AstraZeneca - Vaxzevria,11/1/2021,"2,509,800",,,,,"2,509,800"
Argentina,AstraZeneca - Vaxzevria,12/1/2021,"936,800",,,,,"936,800"
Argentina,AstraZeneca - Vaxzevria,2/1/2022,,,"1,096,800",,,"1,096,800"
Argentina,CanSino - CONVIDECIA,8/1/2021,"200,000",,,,,"200,000"
Argentina,CanSino - CONVIDECIA,9/1/2021,"200,000",,,,,"200,000"
Argentina,CanSino - CONVIDECIA,10/1/2021,"414,000",,,,,"414,000"
Argentina,CanSino - CONVIDECIA,11/1/2021,"690,000",,,,,"690,000"
Argentina,Gamaleya - Sputnik V,12/1/2020,"300,150",,,,,"300,150"
Argentina,Gamaleya - Sputnik V,1/1/2021,"520,000",,,,,"520,000"
Argentina,Gamaleya - Sputnik V,2/1/2021,"2,250,565",,,,,"2,250,565"
Argentina,Gamaleya - Sputnik V,3/1/2021,"4,242,695",,,,,"4,242,695"
Argentina,Gamaleya - Sputnik V,4/1/2021,"3,361,135",,,,,"3,361,135"
Argentina,Gamaleya - Sputnik V,5/1/2021,"3,345,645",,,,,"3,345,645"
Argentina,Gamaleya - Sputnik V,6/1/2021,"2,009,150",,,,,"2,009,150"
Argentina,Gamaleya - Sputnik V,7/1/2021,"2,884,790",,,,,"2,884,790"
Argentina,Gamaleya - Sputnik V,8/1/2021,"6,359,125",,,,,"6,359,125"
Argentina,Gamaleya - Sputnik V,9/1/2021,"2,311,400",,,,,"2,311,400"
Argentina,Gamaleya - Sputnik V,10/1/2021,"2,285,375",,,,,"2,285,375"
Argentina,Gamaleya - Sputnik V,11/1/2021,"773,625",,,,,"773,625"
Argentina,Moderna - Spikevax,7/1/2021,,"3,500,000",,,,"3,500,000"
Argentina,Moderna - Spikevax,12/1/2021,"2,643,340",,,,,"2,643,340"
Argentina,Moderna - Spikevax,2/1/2022,"1,745,660",,,,,"1,745,660"
Argentina,Moderna - Spikevax,3/1/2022,"3,369,660",,,,,"3,369,660"
Argentina,Moderna - Spikevax,4/1/2022,"2,002,300",,,,,"2,002,300"
Argentina,Moderna - Spikevax,5/1/2022,"3,363,000",,,,,"3,363,000"
Argentina,Moderna - Spikevax,6/1/2022,"2,316,600",,,,,"2,316,600"
Argentina,Moderna - Spikevax,7/1/2022,"3,390,000",,,,,"3,390,000"
Argentina,Pfizer BioNTech - Comirnaty,9/1/2021,"742,950",,,,,"742,950"
Argentina,Pfizer BioNTech - Comirnaty,10/1/2021,"8,124,400",,,,,"8,124,400"
Argentina,Pfizer BioNTech - Comirnaty,11/1/2021,"4,509,160",,,,,"4,509,160"
Argentina,Pfizer BioNTech - Comirnaty,12/1/2021,"1,499,940",,,,,"1,499,940"
Argentina,Pfizer BioNTech - Comirnaty,1/1/2022,"4,712,760",,,,,"4,712,760"
Argentina,Pfizer BioNTech - Comirnaty,2/1/2022,"2,842,200",,,,,"2,842,200"
Argentina,Pfizer BioNTech - Comirnaty,3/1/2022,"1,068,000",,,,,"1,068,000"
Argentina,Pfizer BioNTech - Comirnaty,4/1/2022,"1,407,370",,,,,"1,407,370"
Argentina,SII - Covishield,2/1/2021,"580,000",,,,,"580,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,2/1/2021,"1,000,000",,,,,"1,000,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,3/1/2021,"1,000,000",,,,,"1,000,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,4/1/2021,"2,000,000",,,,,"2,000,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,6/1/2021,"2,000,000",,,,,"2,000,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,7/1/2021,"8,000,000",,,,,"8,000,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,8/1/2021,"5,376,000",,,,,"5,376,000"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,9/1/2021,"13,599,920",,,,,"13,599,920"
Argentina,Sinopharm (Beijing) - BBIBP-CorV,11/1/2021,"2,310,381",,"1,672,800",,,"3,983,181"
Armenia,AstraZeneca - Vaxzevria,3/1/2021,,,"24,000",,,"24,000"
Armenia,AstraZeneca - Vaxzevria,5/1/2021,,,"50,400",,,"50,400"
Armenia,AstraZeneca - Vaxzevria,8/1/2021,,"27,500","50,400",,,"77,900"
Armenia,AstraZeneca - Vaxzevria,9/1/2021,,"25,000","187,200",,,"212,200"
Armenia,AstraZeneca - Vaxzevria,11/1/2021,,,"48,000",,,"48,000"
Armenia,AstraZeneca - Vaxzevria,3/1/2022,,,"26,400",,,"26,400"
Armenia,Gamaleya - Sputnik V,4/1/2021,"15,000",,,,,"15,000"
Armenia,Gamaleya - Sputnik V,5/1/2021,"14,000",,,,,"14,000"
Armenia,Gamaleya - Sputnik V,10/1/2021,"50,000",,,,,"50,000"
Armenia,Moderna - Spikevax,10/1/2021,,"670,000",,,,"670,000"
Armenia,Moderna - Spikevax,11/1/2021,,"60,700",,,,"60,700"
Armenia,Moderna - Spikevax,2/1/2022,,"35,000",,,,"35,000"
Armenia,Pfizer BioNTech - Comirnaty,2/1/2022,"100,620",,,,,"100,620"
Armenia,Pfizer BioNTech - Comirnaty,3/1/2022,,"706,140",,,,"706,140"
Armenia,Sinopharm (Beijing) - BBIBP-CorV,8/1/2021,"200,000",,,,,"200,000"
Armenia,Sinopharm (Beijing) - BBIBP-CorV,11/1/2021,"400,000",,,,,"400,000"
Armenia,Sinovac - CoronaVac,5/1/2021,,"100,000",,,,"100,000"
Armenia,Unknown,1/1/2022,,,,,"149,556","149,556"
Armenia,Unknown,2/1/2022,,,,,"39,503","39,503"
Aruba,Pfizer BioNTech - Comirnaty,8/1/2021,,"12,285",,,,"12,285"
Aruba,Unknown,3/1/2021,,,,,"28,343","28,343"
Aruba,Unknown,4/1/2021,,,,,"56,209","56,209"
Aruba,Unknown,5/1/2021,,,,,"41,018","41,018"
Aruba,Unknown,6/1/2021,,,,,"14,412","14,412"
Aruba,Unknown,7/1/2021,,,,,"12,378","12,378"
Aruba,Unknown,9/1/2021,,,,,"7,152","7,152"
Aruba,Unknown,10/1/2021,,,,,"3,550","3,550"
Aruba,Unknown,11/1/2021,,,,,"2,461","2,461"
Aruba,Unknown,12/1/2021,,,,,"2,328","2,328"
Aruba,Unknown,1/1/2022,,,,,"2,949","2,949"
Aruba,Unknown,2/1/2022,,,,,"1,518","1,518"
Aruba,Unknown,3/1/2022,,,,,"1,673","1,673"
Aruba,Unknown,4/1/2022,,,,,"1,080","1,080"
Aruba,Unknown,5/1/2022,,,,,920,920
Aruba,Unknown,6/1/2022,,,,,941,941
Aruba,Unknown,7/1/2022,,,,,719,719
Aruba,Unknown,8/1/2022,,,,,497,497
Aruba,Unknown,9/1/2022,,,,,354,354
Australia,AstraZeneca - Vaxzevria,2/1/2021,"3,800,000",,,,,"3,800,000"
Australia,AstraZeneca - Vaxzevria,3/1/2021,"830,000",,,,,"830,000"
Australia,AstraZeneca - Vaxzevria,4/1/2021,"707,300",,,,,"707,300"
Australia,AstraZeneca - Vaxzevria,5/1/2021,"3,794,200",,,,,"3,794,200"
Australia,AstraZeneca - Vaxzevria,6/1/2021,"2,579,800",,,,,"2,579,800"
Australia,AstraZeneca - Vaxzevria,7/1/2021,"1,464,100",,,,,"1,464,100"
Australia,AstraZeneca - Vaxzevria,8/1/2021,"2,200,000",,,,,"2,200,000"
Australia,AstraZeneca - Vaxzevria,9/1/2021,"2,323,400",,,,,"2,323,400"
Australia,AstraZeneca - Vaxzevria,10/1/2021,"4,479,500",,,,,"4,479,500"
Australia,AstraZeneca - Vaxzevria,11/1/2021,"2,347,800",,,,,"2,347,800"
Australia,Moderna - Spikevax,10/1/2021,"4,356,100",,,,,"4,356,100"
Australia,Moderna - Spikevax,11/1/2021,"1,026,800",,,,,"1,026,800"
Australia,Novavax - Nuvaxovid,2/1/2022,"6,353,300",,,,,"6,353,300"
Australia,Novavax - Nuvaxovid,4/1/2022,"2,959,800",,,,,"2,959,800"
Australia,Novavax - Nuvaxovid,6/1/2022,"3,234,300",,,,,"3,234,300"
Australia,Novavax - Nuvaxovid,8/1/2022,"3,208,100",,,,,"3,208,100"
Australia,Pfizer BioNTech - Comirnaty,4/1/2021,"173,600",,,,,"173,600"
Australia,Pfizer BioNTech - Comirnaty,5/1/2021,"1,406,340",,,,,"1,406,340"
Australia,Pfizer BioNTech - Comirnaty,6/1/2021,"1,707,030",,"513,630",,,"2,220,660"
Australia,Pfizer BioNTech - Comirnaty,7/1/2021,"3,106,060",,,,,"3,106,060"
Australia,Pfizer BioNTech - Comirnaty,8/1/2021,"3,000,000",,,,,"3,000,000"
Australia,Pfizer BioNTech - Comirnaty,9/1/2021,"3,713,770",,,,,"3,713,770"
Australia,Pfizer BioNTech - Comirnaty,10/1/2021,"10,669,230",,,,,"10,669,230"
Australia,Pfizer BioNTech - Comirnaty,11/1/2021,"3,479,580",,,,,"3,479,580"
Austria,AstraZeneca - Vaxzevria,12/1/2020,0,,,,,0
Austria,AstraZeneca - Vaxzevria,1/1/2021,0,,,,,0
Austria,AstraZeneca - Vaxzevria,2/1/2021,"156,000",,,,,"156,000"
Austria,AstraZeneca - Vaxzevria,3/1/2021,"252,000",,,,,"252,000"
Austria,AstraZeneca - Vaxzevria,4/1/2021,"290,400",,,,,"290,400"
Austria,AstraZeneca - Vaxzevria,5/1/2021,"410,400",,,,,"410,400"
Austria,AstraZeneca - Vaxzevria,6/1/2021,"420,000",,,,,"420,000"
Austria,AstraZeneca - Vaxzevria,7/1/2021,"762,200",,,,,"762,200"
Austria,AstraZeneca - Vaxzevria,8/1/2021,"775,800",,,,,"775,800"
Austria,AstraZeneca - Vaxzevria,9/1/2021,"355,200",,,,,"355,200"
Austria,AstraZeneca - Vaxzevria,10/1/2021,"705,600",,,,,"705,600"
Austria,AstraZeneca - Vaxzevria,11/1/2021,"746,400",,,,,"746,400"
Austria,AstraZeneca - Vaxzevria,12/1/2021,"300,000",,,,,"300,000"
Austria,AstraZeneca - Vaxzevria,1/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,2/1/2022,"345,600",,,,,"345,600"
Austria,AstraZeneca - Vaxzevria,3/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,4/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,5/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,6/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,7/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,8/1/2022,0,,,,,0
Austria,AstraZeneca - Vaxzevria,9/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,12/1/2020,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,1/1/2021,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,2/1/2021,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,3/1/2021,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,4/1/2021,"16,800",,,,,"16,800"
Austria,Janssen - Ad26.COV 2.S,5/1/2021,"102,000",,,,,"102,000"
Austria,Janssen - Ad26.COV 2.S,6/1/2021,"74,400",,,,,"74,400"
Austria,Janssen - Ad26.COV 2.S,7/1/2021,"98,400",,,,,"98,400"
Austria,Janssen - Ad26.COV 2.S,8/1/2021,"28,800",,,,,"28,800"
Austria,Janssen - Ad26.COV 2.S,9/1/2021,"84,000",,,,,"84,000"
Austria,Janssen - Ad26.COV 2.S,10/1/2021,"652,800",,,,,"652,800"
Austria,Janssen - Ad26.COV 2.S,11/1/2021,"235,200",,,,,"235,200"
Austria,Janssen - Ad26.COV 2.S,12/1/2021,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,1/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,2/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,3/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,4/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,5/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,6/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,7/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,8/1/2022,0,,,,,0
Austria,Janssen - Ad26.COV 2.S,9/1/2022,0,,,,,0
Austria,Moderna - Spikevax,12/1/2020,0,,,,,0
Austria,Moderna - Spikevax,1/1/2021,"7,200",,,,,"7,200"
Austria,Moderna - Spikevax,2/1/2021,"66,000",,,,,"66,000"
Austria,Moderna - Spikevax,3/1/2021,"123,600",,,,,"123,600"
Austria,Moderna - Spikevax,4/1/2021,"97,200",,,,,"97,200"
Austria,Moderna - Spikevax,5/1/2021,"276,000",,,,,"276,000"
Austria,Moderna - Spikevax,6/1/2021,"246,000",,,,,"246,000"
Austria,Moderna - Spikevax,7/1/2021,"244,800",,,,,"244,800"
Austria,Moderna - Spikevax,8/1/2021,"478,800",,,,,"478,800"
Austria,Moderna - Spikevax,9/1/2021,"102,000",,,,,"102,000"
Austria,Moderna - Spikevax,10/1/2021,"297,700",,,,,"297,700"
Austria,Moderna - Spikevax,11/1/2021,"773,100",,,,,"773,100"
Austria,Moderna - Spikevax,12/1/2021,"775,900",,,,,"775,900"
Austria,Moderna - Spikevax,1/1/2022,"411,600",,,,,"411,600"
Austria,Moderna - Spikevax,2/1/2022,"202,800",,,,,"202,800"
Austria,Moderna - Spikevax,3/1/2022,"139,200",,,,,"139,200"
Austria,Moderna - Spikevax,4/1/2022,"729,600",,,,,"729,600"
Austria,Moderna - Spikevax,5/1/2022,"300,600",,,,,"300,600"
Austria,Moderna - Spikevax,6/1/2022,"219,400",,,,,"219,400"
Austria,Moderna - Spikevax,7/1/2022,0,,,,,0
Austria,Moderna - Spikevax,8/1/2022,0,,,,,0
Austria,Moderna - Spikevax,9/1/2022,"639,550",,,,,"639,550"
Austria,Novavax - Nuvaxovid,12/1/2020,0,,,,,0
Austria,Novavax - Nuvaxovid,1/1/2021,0,,,,,0
Austria,Novavax - Nuvaxovid,2/1/2021,0,,,,,0
Austria,Novavax - Nuvaxovid,3/1/2021,0,,,,,0
Austria,Novavax - Nuvaxovid,4/1/2021,0,,,,,0
Austria,Novavax - Nuvaxovid,5/1/2021,0,,,,,0
Austria,Novavax - Nuvaxovid,6/1/2021,0,,,,,0
